key,en
confirm,Confirm
welcome_back_tip,Welcome !
quick_login_tip,"In order to ensure the security of your data, please bind your account as soon as possible to avoid data loss."
cancel,Cancel
quick_login,Quick Login
x_second_to_retry,s to Retry
accept,Accept
reject,Reject
pay,Pay
please_input_mobile_number,Please Input Mobile Number
please_input_password,Please Input Password
please_input_password_with_tips,Password is recommended to have more than 6 letters and numbers
please_input_username_with_tips,Username should start with a letter and not less than 6 characters
login,Login
account_login,Account Login
register,Register
Unknown Error,Request Error
other_login_methods,Other Login Methods
please_input_username/email,Please Input Username/Email
other_login_methods_line,—————————    Other Login Methods    —————————
no_account?,No Account?
register_account,Register Account
forget_password,Forget Password?
please_input_username,Please Input Username
please_input_validate_code,Please Input Validate Code
get_verify_code,Get Code
please_input_your_name,Please Input Your Name
please_input_id_card,Please Input Your Id Card
confirm_account_formation,Confirm Account Formation
confirm_formation,Confirm Formation
confirm_cancel_account,confirm Cancel Account
confirm_cancel_account_content, please enter "I confirm the cancellation of the account" in the box below to complete the cancellation
confirm_cancel_account_content2,I confirm the cancellation of the account
cancel_account_result, your account cancellation application is successful, the account has been frozen, and the account will be cancelled after 7 days. If you log in to your account within 7 days, the freezing status will be automatically lifted and the cancellation application will be cancelled.
error_diff_text,Inconsistent with the required text
game_verify_name,Real Name Verify
game_verify_content,The registration information can only be submitted once and cannot be modified. Be careful!
next,Next
cancel_account_content,Logging out of the Magic Blade account is a <color=#d6222eff>unrecoverable operation</color>, and your bound email address, mobile phone number, and third-party account will also be unbound. In addition, all of your Magic Blade game records will be irretrievable. Once the application for cancellation of the Magic Blade account is successfully initiated, your Magic Blade account will be frozen immediately. You can re-log in to the Magic Blade account (such as Magic Blade Games, Magic Blade official website) within 7 natural days from the date of successfully initiating the cancellation application. After you log in, the frozen state will be automatically canceled. After 7 natural days from the date you successfully initiated the cancellation application, the cancellation process will be officially completed, your Magic Blade account will not be recoverable, and you will not be able to retrieve any information or data of your Magic Blade account. If you wish to permanently cancel your account, please click the 'Delete Account' button below.
cancel_account_title,express terms
cancel_account,Cancel Account
please_confirm_password,Please Confirm Password
reset_password,Reset Password
error_mobile_number_empty,Please input mobile number and get validate code.
error_validate_code_empty,Please input the correct validate code.
error_password_not_equal,Please confirm password is same.
msg_reset_success,Reset password success.
Please input username and password！,
Cannot connect to destination host,Cannot connect to destination host
Currently for the Tourist account，switching accounts may result in account loss，still have to switch?,
ok,OK
Congratulations! You Has been successfully upgraded to an official account!,
Sorry，the device is temporarily unable to use the quick login feature，please log in after register.,
verify_name_success,
Please Input Message,
Confirm Submit,
Confirm Submit.,
Submit Success!,
Submit Failed. Please Retry.,
Upgrade,
User Center,
User Setting,
Feedback,
Tourist Upgrade,
Quit Game,
Platform ID,
Please input your question or suggestion…,
Switch Account,
Country,
Afghanistan,
Armenia,
Azerbaijan,
Bahrain,
Bangladesh,
Bhutan,
Brunei Darussalam,
Cambodia,
China,
Christmas Island,
Cocos (Keeling) Islands,
Cyprus,
Georgia,
Hong Kong,
India,
Indonesia,
Iran,
Iraq,
Israel,
Japan,
Jordan,
Kazakhstan,
North Korea,
South Korea,
Kuwait,
Kyrgyzstan,
Lao People's Democratic Republic,
Lebanon,
Macao,
Malaysia,
Maldives,
Mongolia,
Myanmar,
Nepal,
Oman,
Pakistan,
Palestinian Territory,
Philippines,
Qatar,
Saudi Arabia,
Singapore,
Sri Lanka,
Syrian Arab Republic,
Taiwan， Province of China,
Tajikistan,
Thailand,
Timor-Leste,
Turkmenistan,
United Arab Emirates,
Uzbekistan,
Vietnam,
Yemen,
I want to,
No!No!,
Confirm switching account?,
Are you sure to quit the game? ,
Yes,
Not now.,
Send,
Please input activation code,
Activation succeeded,
Please enter the correct activation code,
Activation code has been used,